iso3,IndicatorCode,Year,Value,IndicatorName
CRI,SP.POP.SCIE.RD.P6,2005,124.01588,Investigadores por millón hab.
CIV,NY.GDP.PCAP.CD,2005,942.21638493014,PIB per cápita (USD)
CIV,SP.POP.TOTL,2005,18132702.0,Población total
CIV,SP.POP.SCIE.RD.P6,2005,69.98405,Investigadores por millón hab.
HRV,NY.GDP.PCAP.CD,2005,10224.2405855179,PIB per cápita (USD)
HRV,SP.POP.TOTL,2005,4442000.0,Población total
HRV,GB.XPD.RSDV.GD.ZS,2005,0.85558,Gasto I+D (% PIB)
HRV,SP.POP.SCIE.RD.P6,2005,1308.11483,Investigadores por millón hab.
CUB,NY.GDP.PCAP.CD,2005,3786.87532923212,PIB per cápita (USD)
CUB,SP.POP.TOTL,2005,11261052.0,Población total
CUB,GB.XPD.RSDV.GD.ZS,2005,0.5492,Gasto I+D (% PIB)
CUW,SP.POP.TOTL,2005,137658.0,Población total
CYP,NY.GDP.PCAP.CD,2005,24738.009385173,PIB per cápita (USD)
CYP,SP.POP.TOTL,2005,1032586.0,Población total
CYP,GB.XPD.RSDV.GD.ZS,2005,0.37055,Gasto I+D (% PIB)
CYP,SP.POP.SCIE.RD.P6,2005,660.47767,Investigadores por millón hab.
CZE,NY.GDP.PCAP.CD,2005,13317.729834201398,PIB per cápita (USD)
CZE,SP.POP.TOTL,2005,10211216.0,Población total
CZE,GB.XPD.RSDV.GD.ZS,2005,1.17084,Gasto I+D (% PIB)
CZE,SP.POP.SCIE.RD.P6,2005,2362.36532,Investigadores por millón hab.
DNK,NY.GDP.PCAP.CD,2005,48816.8358639645,PIB per cápita (USD)
DNK,SP.POP.TOTL,2005,5419432.0,Población total
DNK,GB.XPD.RSDV.GD.ZS,2005,2.39254,Gasto I+D (% PIB)
DNK,SP.POP.SCIE.RD.P6,2005,5201.29439,Investigadores por millón hab.
DJI,NY.GDP.PCAP.CD,2005,910.364507373486,PIB per cápita (USD)
DJI,SP.POP.TOTL,2005,778406.0,Población total
DMA,NY.GDP.PCAP.CD,2005,5250.35256117448,PIB per cápita (USD)
DMA,SP.POP.TOTL,2005,70542.0,Población total
DOM,NY.GDP.PCAP.CD,2005,3681.06541467851,PIB per cápita (USD)
DOM,SP.POP.TOTL,2005,9237565.0,Población total
ECU,NY.GDP.PCAP.CD,2005,3021.9427673300297,PIB per cápita (USD)
ECU,SP.POP.TOTL,2005,13735232.0,Población total
EGY,NY.GDP.PCAP.CD,2005,1196.7333040595,PIB per cápita (USD)
